date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2024-12-08,60.0,85.0,4.6,91.0,387.0,66.0,56.57142857142857,False,False,False,False,False,True,True
2024-12-11,,,4.6,92.0,66.0,106.0,57.0,False,False,False,False,True,True,True
2024-12-11,,,4.6,91.0,306.0,51.0,57.6,False,False,False,False,True,False,True
2024-12-11,61.0,57.0,18.5,92.0,66.0,106.0,59.0,False,False,True,False,True,True,True
2024-12-11,61.0,57.0,18.5,91.0,306.0,51.0,60.4,False,False,True,False,True,False,True
2024-12-13,86.0,43.0,15.6,91.0,220.0,106.0,65.6,False,False,True,False,True,True,True
2024-12-14,58.0,76.0,15.0,93.0,372.0,127.0,65.2,False,False,True,False,False,True,True
2024-12-15,61.0,88.0,8.1,89.0,475.0,127.0,65.4,False,False,False,False,False,True,True
2024-12-15,61.0,88.0,8.1,91.0,339.0,127.0,64.66666666666667,False,False,False,False,True,True,True
2024-12-15,61.0,88.0,8.1,95.0,131.0,102.0,64.14285714285714,False,False,False,False,True,True,True
2024-12-15,70.0,73.0,16.0,89.0,475.0,127.0,65.42857142857143,False,False,True,False,False,True,True
2024-12-15,70.0,73.0,16.0,91.0,339.0,127.0,66.71428571428571,False,False,True,False,True,True,True
2024-12-15,70.0,73.0,16.0,95.0,131.0,102.0,64.42857142857143,False,False,True,False,True,True,True
2024-12-16,,,16.9,,,,65.5,False,False,True,False,False,False,True
2024-12-18,64.0,69.0,11.5,89.0,374.0,102.0,66.0,False,False,False,False,False,True,True
2024-12-18,64.0,69.0,11.5,92.0,419.0,120.0,66.5,False,False,False,False,False,True,True
2024-12-18,54.0,106.0,14.7,89.0,374.0,102.0,65.33333333333333,False,False,True,False,False,True,True
2024-12-18,54.0,106.0,14.7,92.0,419.0,120.0,62.666666666666664,False,False,True,False,False,True,True
2024-12-20,60.0,83.0,5.1,87.0,326.0,117.0,61.0,False,False,False,False,True,True,True
2024-12-23,59.0,84.0,10.5,92.0,400.0,102.0,59.166666666666664,False,False,False,False,False,True,True
2024-12-23,59.0,84.0,10.5,96.0,307.0,127.0,59.142857142857146,False,False,False,False,True,True,True
2024-12-23,59.0,84.0,10.5,91.0,84.0,127.0,58.42857142857143,False,False,False,False,True,True,True
2024-12-23,,,6.7,96.0,307.0,127.0,57.5,False,False,False,False,True,True,True
2024-12-23,,,6.7,91.0,84.0,127.0,58.2,False,False,False,False,True,True,True
2024-12-23,,,6.7,92.0,400.0,102.0,59.25,False,False,False,False,False,True,True
2024-12-25,56.0,102.0,5.2,85.0,363.0,102.0,58.25,False,False,False,False,False,True,True
2024-12-26,57.0,88.0,6.2,90.0,470.0,0.0,57.75,False,False,False,False,False,False,False
2024-12-26,57.0,88.0,6.2,96.0,71.0,0.0,57.25,False,False,False,False,True,False,True
2024-12-27,58.0,71.0,7.9,89.0,379.0,0.0,57.0,False,False,False,False,False,False,False
2024-12-28,85.0,31.0,8.6,66.0,279.0,10.0,62.6,False,True,False,True,True,False,True
2024-12-30,66.0,65.0,4.3,87.0,332.0,101.0,63.166666666666664,False,False,False,False,True,True,True
2025-01-17,,,4.1,,,,63.166666666666664,False,False,False,False,False,False,False
2025-01-18,55.0,99.0,14.6,92.0,460.0,0.0,63.0,False,False,True,False,False,False,True
