Date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,DateTS,resting_hr_mean,resting_hr_std,resting_hr_z,day_strain_mean,day_strain_std,day_strain_z,sleep_debt_min_mean,sleep_debt_min_std,sleep_debt_min_z,hrv_ms_mean,hrv_ms_std,hrv_ms_z,sleep_efficiency_pct_mean,sleep_efficiency_pct_std,sleep_efficiency_pct_z,asleep_min_mean,asleep_min_std,asleep_min_z,resting_hr_anomaly,day_strain_anomaly,sleep_debt_min_anomaly,hrv_ms_anomaly,sleep_efficiency_pct_anomaly,asleep_min_anomaly,any_anomaly
2025-06-11,51.0,93.0,9.1,93.0,399.0,125.0,2025-06-11,58.84615384615385,12.455562036336474,-0.6299317383883881,10.692857142857145,4.309642906091175,-0.3696030454416138,116.38461538461539,16.459741095262366,0.5234216361923453,80.61538461538461,35.31651752730453,0.3506748754330144,92.61538461538461,5.993586315644263,0.06417115969640352,284.6923076923077,118.95194030600838,0.9609569378492814,False,False,False,False,False,False,False
2025-06-12,51.0,83.0,12.5,91.0,295.0,127.0,2025-06-12,58.61538461538461,12.580000407647493,-0.6053564680932088,10.742857142857144,4.327499595292038,0.4060411372549826,116.53846153846153,16.556043129400088,0.6318863982035026,79.92307692307692,35.16262584634792,0.08750549775117711,92.53846153846153,6.008540929590588,-0.25604577824958935,298.46153846153845,107.61785429984481,-0.03216509457523578,False,False,False,False,False,False,False
2025-06-13,54.0,97.0,17.3,95.0,355.0,127.0,2025-06-13,58.61538461538461,12.580000407647493,-0.366882707935278,11.135714285714284,4.66716964845639,1.32077601171504,119.53846153846153,14.338848074463838,0.5203722379084814,80.3076923076923,35.33266811178338,0.4724326971146807,93.07692307692308,5.8802145434435005,0.32704196570874616,298.0769230769231,107.38828422944309,0.5300678498732366,False,False,False,False,False,False,False
2025-06-14,69.0,76.0,14.9,91.0,271.0,127.0,2025-06-14,59.357142857142854,12.40103682301262,0.7775847520235473,10.735714285714284,3.9943435280131117,1.0425457112240766,120.07142857142857,13.919904319488984,0.49774562163267705,80.0,33.96604639477939,-0.11776466279027409,92.92857142857143,5.676730989334968,-0.33973274974535367,296.14285714285717,103.42879910120075,-0.24309338754147125,False,False,False,False,False,False,False
2025-06-16,50.0,109.0,7.4,86.0,395.0,127.0,2025-06-16,57.0,10.561177090573876,-0.6628049070635963,10.15,3.8237617402440036,-0.7191870693869424,120.07142857142857,13.919904319488984,0.49774562163267705,86.21428571428571,30.298968175953952,0.7520293811126422,92.21428571428571,5.885818306986564,-1.055806582902712,314.2857142857143,96.1420652123551,0.8395314323236862,False,False,False,False,False,False,False
2025-06-16,50.0,109.0,7.4,93.0,389.0,127.0,2025-06-16,54.642857142857146,7.571273064959229,-0.613220141847063,9.564285714285715,3.542404038732224,-0.6109652345191775,120.21428571428571,13.984489052730023,0.4852314775411547,92.42857142857143,24.47829269346232,0.6769846565260852,93.5,3.1804692445276093,-0.15720950638347214,323.42857142857144,96.76912594553991,0.6776069116128122,False,False,False,False,False,False,False
2025-06-16,53.0,79.0,8.8,86.0,395.0,127.0,2025-06-16,54.642857142857146,7.571273064959229,-0.2169855886535764,9.842857142857142,3.29188145541171,-0.31679668815009393,120.21428571428571,13.984489052730023,0.4852314775411547,90.85714285714286,24.59160939725683,-0.48216213366114685,92.71428571428571,3.5826198284448227,-1.874127324640055,328.57142857142856,98.63975972092705,0.6734462007664259,False,False,False,False,False,False,False
2025-06-16,53.0,79.0,8.8,93.0,389.0,127.0,2025-06-16,54.92857142857143,7.415828038358679,-0.2600615087884744,9.7,3.290545898128806,-0.2735108483099386,121.71428571428571,13.458932243786975,0.3927290954417523,89.28571428571429,24.59652436806893,-0.41817754946984087,92.42857142857143,3.3675895445645443,0.16968474449354534,333.7857142857143,99.84617289489998,0.5529935110523,False,False,False,False,False,False,False
2025-06-17,49.0,111.0,13.3,96.0,312.0,127.0,2025-06-17,54.642857142857146,7.571273064959229,-0.7452983262448919,10.064285714285715,3.3924366425368038,0.9538024218765295,121.71428571428571,13.458932243786975,0.3927290954417523,90.5,25.257900515710645,0.8116272366837779,92.64285714285714,3.4996075133154436,0.959291247481174,331.5,99.96056914911702,-0.19507692048962538,False,False,False,False,False,False,False
2025-06-19,60.0,68.0,12.9,93.0,334.0,127.0,2025-06-19,55.357142857142854,7.571273064959223,0.6132201418470635,10.185714285714285,3.4658459158029404,0.7831524482694409,121.71428571428571,13.458932243786975,0.3927290954417523,87.57142857142857,25.32470452622611,-0.7728196216923485,92.35714285714286,3.2724289463321097,0.19644647856378453,333.42857142857144,99.71167224762405,0.005730809227724804,False,False,False,False,False,False,False
2025-06-20,53.0,113.0,20.6,93.0,370.0,127.0,2025-06-20,55.642857142857146,7.386131941344279,-0.35781342167252767,10.964285714285714,4.436666652906324,2.1718364347707366,121.71428571428571,13.458932243786975,0.3927290954417523,88.0,25.726370786532478,0.9717655166925945,92.21428571428571,3.1908178702833716,0.24624228572610876,325.14285714285717,90.4474833964289,0.4959468320476666,False,True,False,False,False,False,True
2025-06-21,64.0,61.0,9.5,99.0,126.0,127.0,2025-06-21,55.357142857142854,6.934940994226828,1.2462769546348147,11.228571428571428,4.209774079709959,-0.4106090720883818,122.5,13.420707306821653,0.33530274501349727,89.28571428571429,23.672212114072146,-1.1948910456450164,92.85714285714286,3.5918099756390385,1.7102400139540315,330.2857142857143,74.48224214941717,-2.7427438861990923,False,False,False,False,False,True,True
2025-06-21,64.0,61.0,9.5,96.0,182.0,127.0,2025-06-21,55.07142857142857,6.438636808831912,1.3867176692314842,11.492857142857144,3.9509422996223424,-0.5044004674650993,126.07142857142857,2.94734001886519,0.31505405641285905,90.57142857142857,21.338712691740728,-1.38581127168343,92.85714285714286,3.5918099756390385,0.8750065187671784,320.57142857142856,84.41446675660653,-1.641560195730118,False,False,False,False,False,False,False
2025-06-23,53.0,93.0,13.0,93.0,328.0,127.0,2025-06-23,55.285714285714285,6.305413686527075,-0.36250028933045647,11.785714285714286,3.895531393168956,0.31171247045140876,126.85714285714286,0.5345224838164064,0.26726124191663797,88.0,18.3051064754325,0.273147823898788,92.71428571428571,3.539416975643545,0.08072354505853116,324.2857142857143,83.4408390799952,0.044514002438599834,False,False,False,False,False,False,False
2025-06-24,55.0,77.0,13.7,91.0,356.0,93.0,2025-06-24,55.57142857142857,6.185768849846996,-0.09237793802183598,12.114285714285716,3.845248245033616,0.4123828124133039,124.57142857142857,9.08688222502195,-3.4743961448616996,86.85714285714286,18.467672973467526,-0.5337512133393634,92.57142857142857,3.567250303143285,-0.44051536558673887,321.2142857142857,81.24149997803679,0.4281766621138016,False,False,False,False,False,False,False
2025-06-25,56.0,77.0,8.0,95.0,360.0,127.0,2025-06-25,55.92857142857143,6.044250742066227,0.011817605601873416,11.792857142857144,3.9956638585258526,-0.9492432990237745,124.57142857142857,9.08688222502195,0.26726124191243866,86.42857142857143,18.632949664151703,-0.5060160413952732,92.85714285714286,3.5918099756390385,0.596595353704894,325.85714285714283,81.48511628404418,0.41900728255502007,False,False,False,False,False,False,False
2025-06-26,54.0,97.0,10.9,94.0,369.0,127.0,2025-06-26,55.92857142857143,6.044250742066227,-0.31907535125059167,11.335714285714285,3.6699627210131713,-0.11872444458890766,124.57142857142857,9.08688222502195,0.26726124191243866,86.42857142857143,18.632949664151703,0.5673513191401546,92.78571428571429,3.5556795613297796,0.34150594656836303,326.85714285714283,81.9548254015188,0.5142205713499838,False,False,False,False,False,False,False
2025-06-27,52.0,100.0,10.0,93.0,339.0,127.0,2025-06-27,54.714285714285715,4.794685702839373,-0.5661029486621695,10.985714285714284,3.535067650937294,-0.27883887468261886,124.57142857142857,9.08688222502195,0.26726124191243866,88.14285714285714,18.703587244808773,0.6339501990685685,92.92857142857143,3.5183974873686608,0.020301450215617738,331.7142857142857,80.38984682487892,0.090629781912453,False,False,False,False,False,False,False
2025-06-28,75.0,37.0,9.9,94.0,90.0,127.0,2025-06-28,56.5,7.035623639735214,2.629475501719169,11.164285714285715,3.4005898001686434,-0.371784245845534,124.57142857142857,9.08688222502195,0.26726124191243866,83.0,22.115083609991643,-2.080028310596895,93.5,2.9022537661407735,0.1722799039261364,309.92857142857144,100.68569853812376,-2.1843079466275683,True,False,False,True,False,True,True
2025-06-28,75.0,37.0,9.9,90.0,307.0,127.0,2025-06-28,58.285714285714285,8.315218406203037,2.0100837882763356,11.342857142857143,3.2500211326447386,-0.4439531572162434,124.57142857142857,9.08688222502195,0.26726124191243866,77.85714285714286,23.903193036969675,-1.7092755262425192,93.28571428571429,3.049049572687302,-1.0776191752167557,304.07142857142856,98.08353134384576,0.029857932197658355,True,False,False,False,False,False,True
